Date,Commodity Prices. Crude Oil (Petroleum). UK Dated Brent
1992 Jan,23.2948108293398
1992 Feb,23.206905882814
1992 Mar,22.0892572769858
1992 Apr,23.9352611540278
1992 May,25.1533725558855
1992 Jun,26.7231037438464
1992 Jul,25.5426658904998
1992 Aug,24.8268684687896
1992 Sep,25.5049923419887
1992 Oct,25.4422030944703
1992 Nov,24.048281799561
1992 Dec,22.7924968491923
1993 Jan,21.7878688888973
1993 Feb,23.206905882814
1993 Mar,23.5459678194135
1993 Apr,23.3952736253693
1993 May,23.244579431325
1993 Jun,22.0892572769858
1993 Jul,21.0469557681798
1993 Aug,20.9841665206613
1993 Sep,20.0800013563959
1993 Oct,20.795798778106
1993 Nov,18.9372370515603
1993 Dec,17.0284439269999
1994 Jan,17.8572619942432
1994 Feb,17.2670430675699
1994 Mar,17.4302951111179
1994 Apr,19.0251419980861
1994 May,20.4190632929954
1994 Jun,21.0218400691724
1994 Jul,22.1394886750006
1994 Aug,21.1223028652019
1994 Sep,19.9041914633442
1994 Oct,20.6325467345581
1994 Nov,21.7250796413789
1994 Dec,19.9418650118553
1995 Jan,20.7832409286024
1995 Feb,21.5241540493199
1995 Mar,21.3734598552756
1995 Apr,23.5334099699099
1995 May,23.005980290755
1995 Jun,21.7878688888973
1995 Jul,19.9167493128479
1995 Aug,20.1804641524254
1995 Sep,20.9213772731429
1995 Oct,20.2432533999438
1995 Nov,21.197649962224
1995 Dec,22.5538977086222
1996 Jan,22.5287820096149
1996 Feb,22.5664555581259
1996 Mar,25.1031411578708
1996 Apr,26.3840418072469
1996 May,24.048281799561
1996 Jun,22.9431910432366
1996 Jul,24.6259428767306
1996 Aug,25.0654676093597
1996 Sep,27.702616005134
1996 Oct,29.7369876247313
1996 Nov,27.9788886942151
1996 Dec,29.5360620326723
1997 Jan,29.4732727851539
1997 Feb,26.1580005161805
1997 Mar,24.1236288965832
1997 Apr,21.9385630829416
1997 May,24.0357239500573
1997 Jun,22.0390258789711
1997 Jul,23.1441166352955
1997 Aug,23.4706207223914
1997 Sep,23.1692323343029
1997 Oct,25.1784882548929
1997 Nov,23.8599140570057
1997 Dec,21.4739226513051
1998 Jan,18.949794901064
1998 Feb,17.6563364021842
1998 Mar,16.4256671508229
1998 Apr,16.8149604854372
1998 May,18.0707454358059
1998 Jun,15.1447665014468
1998 Jul,15.1196508024394
1998 Aug,14.9187252103804
1998 Sep,16.7772869369261
1998 Oct,15.7726589766311
1998 Nov,13.7131716580264
1998 Dec,12.3066925136135
1999 Jan,13.7508452065375
1999 Feb,12.809006493761
1999 Mar,15.2201135984689
1999 Apr,19.0376998475898
1999 May,19.113046944612
1999 Jun,19.5902452257521
1999 Jul,23.4957364213988
1999 Aug,25.3291824489371
1999 Sep,27.7654052526524
1999 Oct,27.7779631021561
1999 Nov,30.8295205315521
1999 Dec,31.997400535395
2000 Jan,31.6708964482992
2000 Feb,34.6973381786878
2000 Mar,34.4964125866288
2000 Apr,28.305392781311
2000 May,34.408507640103
2000 Jun,37.2716973269437
2000 Jul,35.8024289350123
2000 Aug,37.5354121665211
2000 Sep,40.9637050810277
2000 Oct,38.8414285149046
2000 Nov,40.8381265859908
2000 Dec,31.7462435453213
2001 Jan,32.198326127454
2001 Feb,34.4210654896067
2001 Mar,30.6411527889968
2001 Apr,32.0853054819208
2001 May,35.7270818379901
2001 Jun,34.810358824221
2001 Jul,30.8169626820484
2001 Aug,32.2359996759651
2001 Sep,32.0727476324172
2001 Oct,25.7184757835514
2001 Nov,23.7845669599836
2001 Dec,23.3576000768582
2002 Jan,24.4626908331827
2002 Feb,25.4798766429814
2002 Mar,29.749545474235
2002 Apr,32.2108839769577
2002 May,31.9346112878766
2002 Jun,30.3020908523973
2002 Jul,32.361578171002
2002 Aug,33.4415532283191
2002 Sep,35.5889454934496
2002 Oct,34.5968753826583
2002 Nov,30.7667312840337
2002 Dec,35.814986784516
2003 Jan,39.2935110970373
2003 Feb,41.0013786295388
2003 Mar,38.100515394187
2003 Apr,31.4197394582254
2003 May,32.4118095690167
2003 Jun,34.5968753826583
2003 Jul,35.6642925904717
2003 Aug,37.460065069499
2003 Sep,34.0317721549924
2003 Oct,37.1586766814105
2003 Nov,36.1289330221081
2003 Dec,37.5228543170174
2004 Jan,39.1553747524968
2004 Feb,38.7660814178825
2004 Mar,42.4455313224628
2004 Apr,41.8929859443006
2004 May,47.6193653179819
2004 Jun,44.1910724034753
2004 Jul,48.1844685456479
2004 Aug,54.0364264143661
2004 Sep,54.4759511469952
2004 Oct,62.5004169798513
2004 Nov,54.0615421133735
2004 Dec,49.7918732821198
2005 Jan,55.606157602327
2005 Feb,57.213562338799
2005 Mar,66.6570651655718
2005 Apr,65.1250075261219
2005 May,61.1190535344457
2005 Jun,68.2016806545253
2005 Jul,72.308097442231
2005 Aug,80.4832574691314
2005 Sep,79.0893361742221
2005 Oct,73.4885352955776
2005 Nov,69.7337382939751
2005 Dec,71.265795933425
2006 Jan,79.8302492949397
2006 Feb,75.2466342260938
2006 Mar,78.172613160453
2006 Apr,88.4574919039728
2006 May,88.1435456663806
2006 Jun,86.4733516823902
2006 Jul,92.8025078322486
2006 Aug,92.4383301966416
2006 Sep,78.8256213346447
2006 Oct,73.312725402526
2006 Nov,73.4383038975629
2006 Dec,78.2479602574751
2007 Jan,68.1891228050216
2007 Feb,72.5341387332974
2007 Mar,78.0344768159124
2007 Apr,84.6399056548519
2007 May,84.7403684508814
2007 Jun,89.5625826602973
2007 Jul,96.9465981684653
2007 Aug,88.9095744861055
2007 Sep,96.8586932219395
2007 Oct,104.280382278619
2007 Nov,116.197781457618
2007 Dec,114.84153371122
2008 Jan,115.431752637893
2008 Feb,119.073528993962
2008 Mar,129.697469674082
2008 Apr,138.688889918722
2008 May,155.641986748699
2008 Jun,167.082187646558
2008 Jul,168.149604854372
2008 Aug,142.971116599479
2008 Sep,124.398057183526
2008 Oct,91.4713757848577
2008 Nov,66.8579907576308
2008 Dec,52.2155382363315
2009 Jan,56.3345128735409
2009 Feb,54.3032807163195
2009 Mar,58.8198254525888
2009 Apr,63.8506847979144
2009 May,72.7577880530297
2009 Jun,86.1388562365193
2009 Jul,81.5211910302839
2009 Aug,91.0503888300674
2009 Sep,85.0000876110713
2009 Oct,91.9160378195565
2009 Nov,96.7414866265717
2009 Dec,93.7688914326915
2010 Jan,95.9080640145104
2010 Feb,93.3198912318005
2010 Mar,99.552078943752
2010 Apr,106.652103400792
2010 May,95.7547984512821
2010 Jun,93.9806624402308
2010 Jul,93.8516590771475
2010 Aug,96.3101435231648
2010 Sep,97.6835156097954
2010 Oct,104.12729611324
2010 Nov,107.583096698088
2010 Dec,115.276690496195
2011 Jan,120.924914806506
2011 Feb,130.545752408056
2011 Mar,143.713667700567
2011 Apr,154.650514630741
2011 May,143.73486217384
2011 Jun,142.85524189724
2011 Jul,146.248715319941
2011 Aug,138.238445316959
2011 Sep,139.240293674202
2011 Oct,137.468984538363
2011 Nov,138.769374317814
2011 Dec,135.587101091311
2012 Jan,139.384138132153
2012 Feb,150.320448523304
2012 Mar,156.883501415541
2012 Apr,151.436303150631
2012 May,138.791536688578
2012 Jun,120.039287420079
2012 Jul,129.522801403712
2012 Aug,142.330666274791
2012 Sep,142.384037135182
2012 Oct,140.61460884044
2012 Nov,137.774450150317
2012 Dec,137.684261958427
2013 Jan,141.81415646477
2013 Feb,146.24243639519
2013 Mar,137.181947978279
2013 Apr,129.189447580524
2013 May,129.379701482292
2013 Jun,129.483986232519
2013 Jul,135.268240912609
2013 Aug,139.347606206324
2013 Sep,140.172510138658
2013 Oct,137.481698385998
2013 Nov,135.720453493183
2013 Dec,138.93205555002
2014 Jan,135.085333104621
2014 Feb,136.644472019521
2014 Mar,134.878479583602
2014 Apr,135.468372332368
2014 May,137.729356054372
2014 Jun,140.482270426415
2014 Jul,134.347149951186
2014 Aug,127.992592105748
2014 Sep,122.233540578163
2014 Oct,109.591806625222
2014 Nov,98.5012599370218
2014 Dec,78.0634144691166
2015 Jan,60.801111617466
2015 Feb,72.7482500673352
2015 Mar,70.0619548150942
2015 Apr,74.5804973910573
2015 May,81.0752703743053
2015 Jun,
2015 Jul,
2015 Aug,
2015 Sep,
2015 Oct,
2015 Nov,
2015 Dec,
2016 Jan,
2016 Feb,
2016 Mar,
2016 Apr,
2016 May,
2016 Jun,
2016 Jul,
2016 Aug,
2016 Sep,
2016 Oct,
2016 Nov,
2016 Dec,
2017 Jan,
2017 Feb,
2017 Mar,
2017 Apr,
2017 May,
2017 Jun,
2017 Jul,
2017 Aug,
2017 Sep,
2017 Oct,
2017 Nov,
2017 Dec,
2018 Jan,
2018 Feb,
2018 Mar,
2018 Apr,
2018 May,
2018 Jun,
2018 Jul,
2018 Aug,
